Sno,Salary,Country,Race
1,90000,UK,White
2,65000,USA,Hispanic
3,150000,Canada,White
4,60000,USA,Hispanic
5,200000,USA,Asian
6,55000,USA,Hispanic
7,120000,USA,Asian
8,80000,China,Korean
9,45000,China,Chinese
10,110000,Australia,Australian
11,75000,UK,Welsh
12,140000,UK,Asian
13,65000,China,Korean
14,130000,USA,African American
15,40000,Canada,Asian
16,125000,China,Chinese
17,90000,USA,Asian
18,115000,UK,Mixed
19,35000,UK,Asian
20,180000,Australia,Asian
21,80000,China,Korean
22,190000,UK,White
23,50000,UK,Asian
24,60000,China,White
25,140000,USA,African American
26,45000,Canada,White
27,110000,Australia,Asian
28,40000,Australia,Asian
29,140000,Canada,Black
30,90000,China,Korean
31,250000,Canada,Asian
32,55000,UK,White
33,75000,USA,Hispanic
34,65000,Canada,White
35,170000,USA,Hispanic
36,45000,Australia,Asian
37,60000,UK,White
38,115000,China,White
39,40000,Canada,Asian
40,160000,China,White
41,80000,UK,Asian
42,190000,Canada,Black
43,60000,China,Korean
44,45000,UK,Asian
45,130000,UK,Asian
46,40000,USA,White
47,75000,Australia,Asian
48,180000,UK,Welsh
49,120000,Australia,Asian
50,35000,USA,Asian
51,130000,China,Korean
52,85000,Australia,Australian
53,60000,China,White
54,200000,Australia,Asian
55,50000,Canada,Black
56,95000,China,Korean
57,65000,Canada,White
58,140000,USA,Hispanic
59,55000,Canada,White
60,105000,Canada,Asian
61,170000,USA,African American
62,50000,China,Chinese
63,80000,China,Korean
64,180000,China,White
65,35000,Australia,Australian
66,90000,China,Korean
67,120000,Australia,Australian
68,45000,Canada,Asian
69,90000,Canada,Asian
70,150000,Canada,White
71,65000,USA,Hispanic
72,70000,USA,Asian
73,190000,UK,Mixed
74,40000,China,Korean
75,120000,Canada,Black
76,95000,USA,Asian
77,160000,USA,White
78,100000,USA,African American
79,180000,Canada,Black
80,55000,Australia,White
81,70000,UK,Asian
82,80000,USA,White
83,30000,Australia,Asian
84,250000,Canada,Black
85,40000,Australia,Asian
86,95000,UK,White
87,45000,Canada,White
88,80000,USA,Hispanic
89,135000,Canada,Asian
90,55000,Australia,Asian
91,120000,UK,Mixed
92,40000,China,White
93,105000,UK,Welsh
94,170000,China,Chinese
95,75000,Australia,Australian
96,65000,USA,African American
97,160000,Australia,Asian
98,35000,China,White
99,90000,UK,Asian
100,110000,China,Chinese
101,45000,Australia,Asian
102,95000,China,White
103,150000,Australia,White
104,50000,Canada,Asian
105,80000,UK,Welsh
106,220000,USA,African American
107,50000,UK,White
108,60000,USA,Asian
109,100000,USA,White
110,40000,USA,Hispanic
111,110000,USA,Asian
112,95000,UK,White
113,130000,UK,Welsh
114,90000,USA,Asian
115,35000,USA,White
116,95000,Australia,Asian
117,65000,USA,White
118,170000,USA,Hispanic
119,45000,Australia,Australian
120,120000,Canada,White
121,100000,China,Korean
122,180000,UK,Mixed
123,50000,Australia,Australian
124,80000,China,White
125,140000,UK,Mixed
126,40000,UK,White
127,95000,USA,African American
128,110000,UK,White
129,50000,USA,White
130,105000,Canada,White
131,160000,UK,White
132,45000,China,White
133,100000,Canada,Black
134,160000,USA,Hispanic
135,35000,UK,Mixed
136,55000,Canada,Black
137,140000,Canada,Black
138,50000,Canada,White
139,60000,Australia,Asian
140,120000,Australia,White
141,40000,USA,White
142,110000,Australia,Australian
143,50000,USA,Hispanic
144,135000,China,White
145,40000,Australia,Asian
146,90000,Australia,Asian
147,150000,China,Chinese
148,60000,UK,Welsh
149,80000,USA,African American
150,175000,Canada,Black
151,45000,Australia,Australian
152,120000,Canada,Black
153,140000,Australia,Asian
154,35000,USA,Asian
155,95000,Canada,White
156,110000,USA,African American
157,50000,USA,Asian
158,115000,China,Korean
159,185000,China,Chinese
160,40000,Australia,White
161,90000,USA,Asian
162,175000,USA,Asian
163,45000,UK,Mixed
164,80000,China,White
165,120000,China,Korean
166,35000,China,White
167,110000,Australia,Australian
168,150000,Canada,Black
169,50000,China,Korean
170,105000,China,Korean
171,180000,Australia,Australian
172,40000,Canada,Asian
173,,UK,White
174,140000,UK,White
175,45000,Canada,Asian
176,85000,China,White
177,140000,UK,Asian
178,50000,UK,Welsh
179,80000,UK,Asian
180,170000,USA,Asian
181,40000,UK,Welsh
182,105000,China,Chinese
183,145000,USA,Hispanic
184,40000,USA,Hispanic
185,85000,USA,African American
186,130000,China,Chinese
187,95000,Canada,White
188,100000,UK,Mixed
189,180000,China,Korean
190,35000,UK,Welsh
191,95000,USA,African American
192,170000,Australia,Asian
193,45000,Australia,Australian
194,95000,China,Chinese
195,120000,UK,Welsh
196,40000,USA,African American
197,90000,Canada,Asian
198,155000,UK,Asian
199,55000,Australia,Asian
200,110000,Canada,Asian
201,180000,UK,Mixed
202,45000,UK,White
203,130000,USA,Asian
204,45000,USA,Hispanic
205,90000,Canada,White
206,160000,UK,Mixed
207,50000,China,Chinese
208,120000,Australia,Asian
209,170000,Australia,Australian
210,40000,China,Korean
211,110000,China,White
212,150000,China,Chinese
213,40000,USA,Asian
214,85000,USA,White
215,130000,China,Chinese
216,100000,UK,Welsh
217,95000,Canada,White
218,180000,Australia,Australian
219,35000,UK,Asian
220,100000,China,Chinese
221,170000,USA,Hispanic
222,45000,UK,Welsh
223,100000,USA,Hispanic
224,140000,China,White
225,40000,Australia,Australian
226,105000,UK,White
227,160000,Canada,White
228,70000,Australia,Asian
229,120000,Australia,Australian
230,190000,USA,Hispanic
231,45000,Canada,Black
232,120000,Canada,Asian
233,50000,China,White
234,85000,Canada,White
235,140000,Canada,White
236,45000,Australia,White
237,100000,UK,Welsh
238,140000,Australia,Asian
239,70000,Canada,Asian
240,120000,Canada,Black
241,160000,Canada,White
242,40000,Australia,Australian
243,120000,China,Korean
244,150000,UK,Asian
245,70000,USA,Asian
246,95000,USA,White
247,180000,Canada,White
248,50000,Canada,Black
249,95000,USA,African American
250,170000,Canada,White
251,40000,USA,White
252,110000,Australia,Australian
253,150000,China,Korean
254,40000,USA,Asian
255,85000,Canada,White
256,130000,Australia,Australian
257,100000,Australia,Australian
258,95000,UK,Asian
259,180000,Australia,White
260,350,USA,Hispanic
261,,Canada,White
262,120000,USA,African American
263,160000,China,Chinese
264,50000,Australia,White
265,110000,Canada,Black
266,40000,USA,African American
267,95000,UK,White
268,140000,China,Chinese
269,60000,China,Korean
270,110000,China,White
271,150000,Australia,Asian
272,60000,UK,Welsh
273,90000,Australia,Australian
274,180000,UK,Mixed
275,40000,Australia,Australian
276,120000,UK,Asian
277,160000,UK,Asian
278,70000,UK,Mixed
279,95000,Australia,Asian
280,180000,UK,Mixed
281,50000,USA,Hispanic
282,95000,Canada,Black
283,170000,Canada,White
284,35000,Australia,White
285,100000,Canada,White
286,150000,China,White
287,60000,Canada,Black
288,85000,China,Chinese
289,130000,Canada,White
290,65000,China,Chinese
291,110000,Australia,Asian
292,180000,USA,Asian
293,40000,Australia,Australian
294,90000,USA,Hispanic
295,140000,UK,Welsh
296,60000,China,Korean
297,130000,Australia,Asian
298,160000,Australia,Asian
299,40000,Australia,White
300,100000,UK,Mixed
301,180000,USA,Hispanic
302,55000,Canada,Black
303,120000,Canada,Asian
304,150000,Canada,Black
305,70000,UK,Mixed
306,95000,China,Chinese
307,180000,China,White
308,50000,Canada,Black
309,120000,Australia,White
310,170000,UK,White
311,35000,Australia,White
312,100000,Australia,Asian
313,150000,Australia,Asian
314,60000,UK,White
315,85000,Canada,Black
316,130000,Australia,White
317,80000,Canada,White
318,95000,Canada,White
319,40000,UK,Welsh
320,120000,China,Chinese
321,160000,Canada,Black
322,65000,USA,Hispanic
323,130000,Canada,White
324,180000,China,White
325,40000,Australia,Australian
326,100000,UK,Asian
327,150000,USA,African American
328,55000,Canada,White
329,110000,China,White
330,180000,China,Chinese
331,50000,China,Korean
332,130000,Australia,White
333,160000,Australia,Asian
334,60000,Canada,Asian
335,95000,China,Korean
336,170000,China,Chinese
337,40000,UK,Mixed
338,90000,UK,Asian
339,150000,UK,White
340,70000,UK,Welsh
341,90000,Australia,White
342,170000,China,Korean
343,50000,UK,Asian
344,150000,Canada,White
345,160000,Canada,Asian
346,60000,Canada,Black
347,85000,Canada,Asian
348,180000,China,Chinese
349,35000,Canada,Asian
350,110000,USA,Asian
351,160000,China,Chinese
352,55000,Canada,Black
353,110000,Canada,Black
354,180000,Canada,Asian
355,50000,Canada,Black
356,130000,USA,White
357,160000,UK,Asian
358,60000,Canada,White
359,95000,UK,Welsh
360,170000,UK,Welsh
361,40000,Australia,Australian
362,90000,China,Chinese
363,150000,UK,Welsh
364,70000,Canada,White
365,90000,China,Chinese
366,170000,Canada,Asian
367,50000,Canada,Black
368,150000,China,Chinese
369,160000,Australia,White
370,60000,UK,Welsh
371,85000,China,White
372,170000,China,White
373,40000,USA,Asian
374,90000,China,White
375,150000,UK,White
376,160000,Australia,White
377,125000,Canada,Black
378,120000,China,White
379,110000,UK,Mixed
380,180000,China,Korean
381,140000,Australia,White
382,170000,USA,Asian
383,100000,China,White
384,190000,UK,Mixed
385,155000,UK,Welsh
386,130000,Canada,Black
387,145000,USA,African American
388,115000,USA,African American
389,140000,USA,Hispanic
390,185000,China,Chinese
391,100000,Australia,Australian
392,190000,Canada,Black
393,155000,UK,Welsh
394,130000,Australia,White
395,145000,Australia,White
396,125000,China,Korean
397,120000,USA,White
398,110000,USA,African American
399,180000,China,Korean
400,140000,USA,Hispanic
401,170000,China,Chinese
402,100000,Australia,Asian
403,190000,Canada,Asian
404,155000,Australia,Australian
405,130000,Canada,Asian
406,145000,Canada,Asian
407,115000,UK,Asian
408,140000,Australia,White
409,185000,Canada,White
410,100000,China,White
411,190000,UK,White
412,155000,Australia,Australian
413,130000,Canada,Asian
